id,created_at,severity,event_type,message,source,actor_principal,actor_username,board_id
32708,2026-05-25T08:20:07.400625+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32707,2026-05-25T08:20:07.237563+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_oficina_interior,system,system,,1
32706,2026-05-25T08:20:00.999147+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32705,2026-05-25T08:19:57.996791+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32704,2026-05-25T08:19:57.826844+00:00,INFO,general,Pulso finalizado: interfono_puerta_oficina_interior,system,system,,1
32703,2026-05-25T08:19:54.823541+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_oficina_interior,system,system,,1
32702,2026-05-25T08:08:29.151396+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32701,2026-05-25T08:08:26.110096+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32700,2026-05-25T08:08:20.100033+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_interior_puerta_oficina_esclusa,system,system,,1
32699,2026-05-25T08:08:17.097403+00:00,OK,general,Radar ON â†’ salidas regla radares_interior_puerta_oficina_esclusa,system,system,,1
32698,2026-05-25T08:08:11.264051+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32697,2026-05-25T08:08:11.212618+00:00,INFO,general,Pulso finalizado: interfono_puerta_oficina_exterior,system,system,,1
32696,2026-05-25T08:08:08.222336+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32695,2026-05-25T08:08:08.090104+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_oficina_exterior,system,system,,1
32694,2026-05-25T08:08:02.099048+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32693,2026-05-25T08:08:02.044786+00:00,INFO,general,Pulso finalizado: interfono_puerta_oficina_exterior,system,system,,1
32692,2026-05-25T08:07:59.057661+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32691,2026-05-25T08:07:58.080887+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_oficina_exterior,system,system,,1
32690,2026-05-25T08:07:39.974758+00:00,OK,general,Regla ejecutada: horario_esclusa,system,system,,1
32689,2026-05-25T08:07:32.522405+00:00,INFO,general,Modo desactivado por trigger OFF: horario_cerrado,system,system,,1
32688,2026-05-25T08:07:14.515907+00:00,OK,general,Regla ejecutada: horario_cerrado,system,system,,1
32687,2026-05-25T08:07:12.958296+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32686,2026-05-25T08:06:17.223289+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
